new_name	source_dir	source_file
graph_1.gr	randomD_5k	graph_4691.gr
graph_2.gr	randomD_5k	graph_672.gr
graph_3.gr	randomD_5k	graph_3647.gr
graph_4.gr	randomD_5k	graph_3370.gr
graph_5.gr	randomD_5k	graph_4151.gr
graph_6.gr	randomD_5k	graph_303.gr
graph_7.gr	randomD_5k	graph_34.gr
graph_8.gr	randomD_5k	graph_3824.gr
graph_9.gr	randomD_5k	graph_1516.gr
graph_10.gr	randomD_5k	graph_4173.gr
graph_11.gr	randomD_5k	graph_3794.gr
graph_12.gr	randomD_5k	graph_671.gr
graph_13.gr	randomD_5k	graph_1751.gr
graph_14.gr	randomD_5k	graph_3885.gr
graph_15.gr	randomD_5k	graph_4389.gr
graph_16.gr	randomD_5k	graph_2488.gr
graph_17.gr	randomD_5k	graph_3096.gr
graph_18.gr	randomD_5k	graph_1339.gr
graph_19.gr	randomD_5k	graph_2818.gr
graph_20.gr	randomD_5k	graph_4199.gr
graph_21.gr	randomD_5k	graph_1247.gr
graph_22.gr	randomD_5k	graph_4677.gr
graph_23.gr	randomD_5k	graph_1542.gr
graph_24.gr	randomD_5k	graph_4419.gr
graph_25.gr	randomD_5k	graph_3607.gr
graph_26.gr	randomD_5k	graph_2026.gr
graph_27.gr	randomD_5k	graph_1540.gr
graph_28.gr	randomD_5k	graph_4122.gr
graph_29.gr	randomD_5k	graph_2257.gr
graph_30.gr	randomD_5k	graph_3082.gr
graph_31.gr	randomD_5k	graph_1677.gr
graph_32.gr	randomD_5k	graph_4872.gr
graph_33.gr	randomD_5k	graph_4071.gr
graph_34.gr	randomD_5k	graph_395.gr
graph_35.gr	randomD_5k	graph_2280.gr
graph_36.gr	randomD_5k	graph_3172.gr
graph_37.gr	randomD_5k	graph_3979.gr
graph_38.gr	randomD_5k	graph_4948.gr
graph_39.gr	randomD_5k	graph_2994.gr
graph_40.gr	randomD_5k	graph_206.gr
graph_41.gr	randomD_5k	graph_482.gr
graph_42.gr	randomD_5k	graph_3422.gr
graph_43.gr	randomD_5k	graph_4983.gr
graph_44.gr	randomD_5k	graph_3268.gr
graph_45.gr	randomD_5k	graph_3061.gr
graph_46.gr	randomD_5k	graph_1848.gr
graph_47.gr	randomD_5k	graph_4774.gr
graph_48.gr	randomD_5k	graph_3002.gr
graph_49.gr	randomD_5k	graph_1248.gr
