pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	bpq	dedup	blank	0	0.0066 ± 2e-04
mix_all	false	bpq	dedup	blank	0	0.0066 ± 4e-04
randomD	online	bpq	hybrid	blank	0	0.0067 ± 3e-04
mix_all	online	bpq	hybrid	blank	0	0.0067 ± 3e-04
mix_all	online	bpq	dedup	blank	0	0.0067 ± 2e-04
mix_gen	false	bpq	dedup	offline	0	0.0067 ± 2e-04
mix_gen	false	bpq	hybrid	offline	0	0.0067 ± 3e-04
randomD	false	bpq	dedup	blank	0	0.0067 ± 2e-04
mix_all	false	bpq	dedup	offline	0	0.0068 ± 4e-04
mix_gen	false	bpq	hybrid	online	0	0.0068 ± 3e-04
mix_all	online	bpq	dedup	online	0	0.0068 ± 2e-04
mix_all	online	bpq	hybrid	offline	0	0.0068 ± 2e-04
randomD	online	bpq	hybrid	online	0	0.0068 ± 8e-04
mix_gen	online	bpq	dedup	online	0	0.0069 ± 3e-04
mix_all	false	bpq	hybrid	online	0	0.0069 ± 3e-04
randomD	online	bpq	dedup	blank	0	0.0069 ± 4e-04
mix_all	false	bpq	dedup	online	0	0.0069 ± 6e-04
randomD	false	bpq	hybrid	blank	0	0.0069 ± 3e-04
mix_gen	false	bpq	dedup	online	0	0.0069 ± 4e-04
mix_gen	online	bpq	hybrid	offline	0	0.0069 ± 3e-04
mix_gen	online	bpq	hybrid	online	0	0.0069 ± 4e-04
randomD	false	bpq	hybrid	online	0	0.0069 ± 4e-04
mix_all	online	bpq	hybrid	online	0	0.0069 ± 2e-04
randomD	online	bpq	dedup	online	0	0.0070 ± 4e-04
mix_gen	online	bpq	dedup	blank	0	0.0070 ± 5e-04
mix_gen	online	bpq	hybrid	blank	0	0.0070 ± 3e-04
randomD	false	bpq	hybrid	offline	0	0.0070 ± 4e-04
mix_all	false	bpq	hybrid	blank	0	0.0070 ± 4e-04
mix_all	false	bpq	hybrid	offline	0	0.0070 ± 4e-04
randomD	false	bpq	dedup	online	0	0.0071 ± 4e-04
randomD	false	bpq	dedup	offline	0	0.0071 ± 2e-04
mix_all	online	bpq	dedup	offline	0	0.0072 ± 4e-04
mix_gen	false	bpq	hybrid	blank	0	0.0072 ± 6e-04
mix_gen	online	bpq	dedup	offline	0	0.0072 ± 4e-04
randomD	online	bpq	hybrid	offline	0	0.0072 ± 3e-04
randomD	online	bpq	dedup	offline	0	0.0073 ± 3e-04
mix_all	false	lapq	hybrid	offline	0	0.0115 ± 4e-04
randomD	false	lapq	hybrid	blank	0	0.0115 ± 3e-04
mix_all	false	lapq	dedup	blank	0	0.0115 ± 4e-04
mix_all	false	lapq	hybrid	blank	0	0.0115 ± 3e-04
mix_gen	false	lapq	hybrid	blank	0	0.0115 ± 5e-04
mix_all	false	lapq	hybrid	online	0	0.0116 ± 5e-04
randomD	online	lapq	hybrid	blank	0	0.0116 ± 4e-04
mix_all	online	lapq	hybrid	online	0	0.0117 ± 5e-04
randomD	false	lapq	hybrid	offline	0	0.0117 ± 4e-04
mix_gen	online	lapq	hybrid	online	0	0.0117 ± 5e-04
mix_gen	false	lapq	hybrid	offline	0	0.0117 ± 7e-04
mix_all	online	lapq	hybrid	blank	0	0.0118 ± 5e-04
mix_gen	false	lapq	dedup	blank	0	0.0118 ± 5e-04
mix_all	false	lapq	dedup	online	0	0.0118 ± 6e-04
randomD	false	lapq	hybrid	online	0	0.0118 ± 4e-04
mix_gen	false	lapq	hybrid	online	0	0.0118 ± 0.0012
randomD	false	lapq	dedup	online	0	0.0118 ± 1e-04
mix_all	false	lapq	dedup	offline	0	0.0119 ± 8e-04
mix_gen	online	lapq	hybrid	blank	0	0.0119 ± 5e-04
mix_all	online	lapq	hybrid	offline	0	0.0119 ± 6e-04
mix_gen	online	lapq	hybrid	offline	0	0.0119 ± 5e-04
randomD	online	lapq	hybrid	online	0	0.0120 ± 6e-04
mix_gen	online	lapq	dedup	blank	0	0.0120 ± 3e-04
mix_gen	online	lapq	dedup	online	0	0.0121 ± 1e-04
randomD	false	lapq	dedup	offline	0	0.0121 ± 3e-04
