pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	bpq	hybrid	blank	0	0.0063 ± 2e-04
randomE	false	bpq	dedup	blank	0	0.0063 ± 2e-04
mix_all	false	bpq	hybrid	offline	0	0.0064 ± 1e-04
mix_gen	false	bpq	dedup	blank	0	0.0065 ± 3e-04
mix_all	false	bpq	hybrid	blank	0	0.0065 ± 6e-04
mix_gen	false	bpq	hybrid	online	0	0.0065 ± 6e-04
mix_gen	online	bpq	dedup	blank	0	0.0066 ± 2e-04
mix_gen	false	bpq	hybrid	offline	0	0.0067 ± 3e-04
randomE	false	bpq	hybrid	offline	0	0.0067 ± 2e-04
mix_gen	false	bpq	dedup	online	0	0.0067 ± 5e-04
mix_gen	online	bpq	hybrid	blank	0	0.0068 ± 3e-04
mix_all	online	bpq	hybrid	blank	0	0.0068 ± 3e-04
mix_gen	false	bpq	dedup	offline	0	0.0068 ± 8e-04
mix_all	false	bpq	dedup	online	0	0.0068 ± 8e-04
mix_gen	online	bpq	hybrid	online	0	0.0069 ± 5e-04
randomE	false	bpq	hybrid	online	0	0.0069 ± 6e-04
randomE	online	bpq	dedup	online	0	0.0069 ± 5e-04
mix_gen	online	bpq	dedup	online	0	0.0070 ± 7e-04
randomE	online	bpq	dedup	blank	0	0.0070 ± 3e-04
mix_all	false	bpq	dedup	blank	0	0.0070 ± 0.0011
randomE	false	bpq	hybrid	blank	0	0.0070 ± 0.0017
randomE	online	bpq	hybrid	blank	0	0.0071 ± 8e-04
mix_all	false	bpq	dedup	offline	0	0.0072 ± 0.0013
mix_all	online	bpq	hybrid	offline	0	0.0072 ± 3e-04
randomE	false	bpq	dedup	offline	0	0.0072 ± 6e-04
randomE	online	bpq	dedup	offline	0	0.0073 ± 5e-04
mix_all	online	bpq	dedup	blank	0	0.0074 ± 0.0013
mix_gen	online	bpq	dedup	offline	0	0.0074 ± 6e-04
mix_gen	online	bpq	hybrid	offline	0	0.0074 ± 6e-04
mix_all	online	bpq	dedup	offline	0	0.0075 ± 6e-04
mix_all	false	bpq	hybrid	online	0	0.0077 ± 0.0022
randomE	online	bpq	hybrid	online	0	0.0077 ± 0.0013
randomE	online	bpq	hybrid	offline	0	0.0078 ± 9e-04
mix_all	online	bpq	hybrid	online	0	0.0082 ± 0.0018
mix_all	online	bpq	dedup	online	0	0.0084 ± 0.0028
randomE	false	bpq	dedup	online	0	0.0100 ± 0.0064
mix_all	false	lapq	dedup	blank	0	0.0119 ± 5e-04
mix_gen	online	lapq	dedup	online	0	0.0119 ± 5e-04
mix_all	online	lapq	dedup	blank	0	0.0120 ± 4e-04
mix_all	false	lapq	dedup	offline	0	0.0120 ± 5e-04
mix_all	false	lapq	hybrid	online	0	0.0120 ± 6e-04
mix_all	false	lapq	dedup	online	0	0.0120 ± 9e-04
mix_all	online	lapq	hybrid	blank	0	0.0121 ± 4e-04
mix_all	online	lapq	dedup	online	0	0.0121 ± 5e-04
mix_gen	false	lapq	dedup	online	0	0.0122 ± 0.0011
mix_gen	online	lapq	dedup	blank	0	0.0122 ± 4e-04
randomE	false	lapq	dedup	online	0	0.0122 ± 4e-04
randomE	false	lapq	hybrid	online	0	0.0122 ± 7e-04
mix_gen	online	lapq	hybrid	online	0	0.0122 ± 4e-04
mix_all	false	lapq	hybrid	offline	0	0.0123 ± 8e-04
randomE	online	lapq	dedup	offline	0	0.0123 ± 3e-04
randomE	false	lapq	dedup	blank	0	0.0124 ± 6e-04
randomE	online	lapq	dedup	online	0	0.0124 ± 6e-04
randomE	online	lapq	hybrid	blank	0	0.0124 ± 4e-04
mix_gen	online	lapq	dedup	offline	0	0.0125 ± 6e-04
mix_gen	online	lapq	hybrid	blank	0	0.0125 ± 6e-04
randomE	false	lapq	hybrid	blank	0	0.0125 ± 0.0011
mix_all	online	lapq	hybrid	online	0	0.0125 ± 5e-04
mix_gen	false	lapq	hybrid	blank	0	0.0125 ± 8e-04
mix_all	online	lapq	dedup	offline	0	0.0126 ± 9e-04
mix_gen	false	lapq	hybrid	offline	0	0.0126 ± 0.0010
mix_gen	online	lapq	hybrid	offline	0	0.0126 ± 2e-04
mix_all	false	lapq	hybrid	blank	0	0.0126 ± 0.0012
mix_all	online	lapq	hybrid	offline	0	0.0127 ± 9e-04
randomE	online	lapq	dedup	blank	0	0.0128 ± 0.0012
randomE	false	lapq	hybrid	offline	0	0.0128 ± 7e-04
mix_gen	false	lapq	dedup	offline	0	0.0134 ± 0.0032
randomE	online	lapq	hybrid	online	0	0.0135 ± 0.0021
randomE	false	lapq	dedup	offline	0	0.0137 ± 0.0032
mix_gen	false	lapq	hybrid	online	0	0.0138 ± 0.0028
mix_gen	false	lapq	dedup	blank	0	0.0142 ± 0.0038
randomE	online	lapq	hybrid	offline	0	0.0156 ± 0.0060
mix_gen	false	bpq	ob	online	3	1.1735 ± 0.0417
mix_all	false	bpq	npf	blank	3	1.1737 ± 0.0140
mix_all	false	bpq	ob	blank	2	1.1750 ± 0.0296
mix_all	false	bpq	ob	blank	3	1.1753 ± 0.0365
randomE	false	bpq	hybrid	offline	2	1.1778 ± 0.0217
mix_gen	false	bpq	ob	blank	3	1.1826 ± 0.0531
mix_all	false	bpq	npf	online	3	1.1828 ± 0.0133
mix_gen	false	bpq	hybrid	offline	2	1.1829 ± 0.0191
randomE	false	bpq	hybrid	online	3	1.1850 ± 0.0258
mix_all	false	bpq	ob	online	2	1.1861 ± 0.0508
randomE	false	bpq	hybrid	blank	2	1.1877 ± 0.0085
randomE	false	bpq	hybrid	blank	3	1.1879 ± 0.0178
mix_all	false	bpq	npf	offline	3	1.1883 ± 0.0291
randomE	false	bpq	ob	online	2	1.1885 ± 0.0237
mix_gen	false	bpq	ob	blank	2	1.1885 ± 0.0529
randomE	false	bpq	ob	offline	3	1.1886 ± 0.0242
mix_gen	false	bpq	hybrid	blank	3	1.1894 ± 0.0493
mix_all	false	bpq	dedup	blank	2	1.1894 ± 0.0350
mix_gen	false	bpq	npf	online	3	1.1905 ± 0.0343
mix_gen	false	bpq	npf	online	2	1.1905 ± 0.0401
mix_all	false	bpq	hybrid	blank	3	1.1908 ± 0.0230
mix_gen	false	bpq	hybrid	blank	2	1.1910 ± 0.0423
mix_all	false	bpq	hybrid	offline	3	1.1910 ± 0.0529
mix_gen	false	bpq	hybrid	online	3	1.1912 ± 0.0421
mix_gen	false	bpq	npf	blank	2	1.1930 ± 0.0447
mix_gen	false	bpq	ob	online	2	1.1937 ± 0.0466
randomE	false	bpq	npf	offline	3	1.1937 ± 0.0290
mix_all	blank	bpq	ob	online	2	1.1940 ± 0.0535
mix_all	false	bpq	hybrid	online	2	1.1942 ± 0.0407
mix_all	offline	bpq	hybrid	online	3	1.1943 ± 0.0389
mix_gen	false	bpq	npf	offline	3	1.1943 ± 0.0419
randomE	offline	bpq	npf	blank	3	1.1946 ± 0.0253
mix_all	blank	bpq	ob	blank	2	1.1948 ± 0.0382
mix_gen	offline	bpq	dedup	online	3	1.1950 ± 0.0235
mix_gen	false	bpq	dedup	online	3	1.1953 ± 0.0402
mix_all	false	bpq	dedup	offline	3	1.1959 ± 0.0522
mix_gen	false	bpq	hybrid	online	2	1.1959 ± 0.0590
mix_gen	false	bpq	hybrid	offline	3	1.1962 ± 0.0315
mix_all	false	bpq	dedup	online	2	1.1968 ± 0.0321
mix_gen	offline	bpq	ob	offline	1	1.1970 ± 0.0488
mix_gen	false	bpq	npf	offline	2	1.1972 ± 0.0355
mix_gen	offline	bpq	npf	offline	2	1.1977 ± 0.0249
mix_all	false	bpq	hybrid	blank	2	1.1980 ± 0.0134
randomE	offline	bpq	npf	offline	0	1.1981 ± 0.0399
mix_all	false	bpq	npf	blank	1	1.1986 ± 0.0237
randomE	online	bpq	npf	online	2	1.1989 ± 0.0425
randomE	online	bpq	npf	offline	2	1.1989 ± 0.0367
mix_all	blank	bpq	ob	blank	3	1.1992 ± 0.0422
randomE	offline	bpq	dedup	blank	0	1.1992 ± 0.0665
randomE	false	bpq	hybrid	offline	3	1.1993 ± 0.0297
mix_gen	false	bpq	ob	offline	3	1.1997 ± 0.0481
randomE	offline	bpq	false	false	0	1.1997 ± 0.0397
mix_all	offline	bpq	hybrid	blank	0	1.1999 ± 0.0411
mix_gen	offline	bpq	ob	blank	0	1.2003 ± 0.0492
