pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	false	bpq	hybrid	blank	0	0.0066 ± 2e-04
mix_all	false	bpq	dedup	offline	0	0.0067 ± 3e-04
mix_gen	false	bpq	dedup	offline	0	0.0068 ± 1e-04
mix_all	false	bpq	hybrid	online	0	0.0068 ± 5e-04
mix_gen	false	bpq	hybrid	online	0	0.0068 ± 3e-04
mix_all	false	bpq	dedup	blank	0	0.0068 ± 4e-04
mix_gen	false	bpq	hybrid	offline	0	0.0069 ± 5e-04
randomG	false	bpq	hybrid	online	0	0.0069 ± 2e-04
mix_gen	false	bpq	hybrid	blank	0	0.0069 ± 8e-04
randomG	false	bpq	hybrid	blank	0	0.0070 ± 9e-04
mix_gen	online	bpq	dedup	online	0	0.0070 ± 5e-04
mix_all	false	bpq	dedup	online	0	0.0070 ± 4e-04
mix_gen	online	bpq	dedup	blank	0	0.0071 ± 7e-04
mix_gen	online	bpq	hybrid	blank	0	0.0072 ± 4e-04
randomG	false	bpq	dedup	online	0	0.0072 ± 4e-04
mix_gen	false	bpq	dedup	online	0	0.0072 ± 7e-04
randomG	false	bpq	dedup	blank	0	0.0072 ± 9e-04
mix_gen	online	bpq	hybrid	online	0	0.0072 ± 0.0013
mix_all	online	bpq	dedup	offline	0	0.0074 ± 8e-04
randomG	online	bpq	dedup	online	0	0.0074 ± 0.0011
mix_gen	online	bpq	hybrid	offline	0	0.0074 ± 6e-04
randomG	false	bpq	hybrid	offline	0	0.0074 ± 6e-04
randomG	online	bpq	dedup	blank	0	0.0074 ± 8e-04
randomG	online	bpq	dedup	offline	0	0.0075 ± 7e-04
randomG	online	bpq	hybrid	online	0	0.0075 ± 6e-04
mix_gen	false	bpq	dedup	blank	0	0.0075 ± 0.0013
randomG	online	bpq	hybrid	offline	0	0.0076 ± 8e-04
mix_all	online	bpq	dedup	online	0	0.0076 ± 0.0012
mix_all	online	bpq	hybrid	offline	0	0.0077 ± 7e-04
mix_all	online	bpq	hybrid	online	0	0.0077 ± 0.0018
mix_all	online	bpq	dedup	blank	0	0.0081 ± 0.0017
mix_gen	online	bpq	dedup	offline	0	0.0081 ± 0.0022
randomG	false	bpq	dedup	offline	0	0.0081 ± 4e-04
mix_all	false	bpq	hybrid	offline	0	0.0085 ± 0.0030
mix_all	online	bpq	hybrid	blank	0	0.0086 ± 0.0025
randomG	online	bpq	hybrid	blank	0	0.0092 ± 0.0049
randomG	online	lapq	dedup	online	0	0.0126 ± 6e-04
mix_gen	false	lapq	hybrid	online	0	0.0126 ± 4e-04
mix_gen	online	lapq	hybrid	online	0	0.0127 ± 6e-04
randomG	online	lapq	hybrid	online	0	0.0128 ± 5e-04
mix_gen	false	lapq	hybrid	offline	0	0.0128 ± 8e-04
mix_gen	online	lapq	hybrid	blank	0	0.0130 ± 8e-04
randomG	online	lapq	hybrid	blank	0	0.0130 ± 3e-04
mix_all	false	lapq	dedup	blank	0	0.0131 ± 9e-04
randomG	online	lapq	dedup	blank	0	0.0131 ± 0.0014
mix_gen	online	lapq	dedup	online	0	0.0132 ± 8e-04
mix_all	online	lapq	dedup	offline	0	0.0132 ± 6e-04
mix_all	online	lapq	hybrid	online	0	0.0133 ± 0.0011
mix_all	online	lapq	hybrid	blank	0	0.0133 ± 0.0016
mix_all	false	lapq	hybrid	online	0	0.0133 ± 0.0017
randomG	false	lapq	dedup	blank	0	0.0133 ± 0.0017
mix_gen	false	lapq	dedup	offline	0	0.0134 ± 0.0020
randomG	online	lapq	hybrid	offline	0	0.0134 ± 7e-04
mix_gen	false	lapq	dedup	online	0	0.0135 ± 0.0013
randomG	false	lapq	hybrid	online	0	0.0135 ± 0.0022
mix_all	online	lapq	hybrid	offline	0	0.0135 ± 0.0017
mix_all	false	lapq	dedup	online	0	0.0135 ± 0.0016
mix_gen	false	lapq	hybrid	blank	0	0.0137 ± 0.0023
randomG	false	lapq	hybrid	blank	0	0.0138 ± 0.0031
mix_all	false	lapq	dedup	offline	0	0.0139 ± 0.0021
mix_all	false	lapq	hybrid	offline	0	0.0140 ± 0.0037
mix_gen	online	lapq	dedup	offline	0	0.0142 ± 0.0029
randomG	false	lapq	hybrid	offline	0	0.0143 ± 0.0035
mix_gen	false	lapq	dedup	blank	0	0.0143 ± 0.0028
mix_gen	online	lapq	dedup	blank	0	0.0143 ± 0.0024
randomG	false	lapq	dedup	online	0	0.0143 ± 0.0022
mix_all	false	lapq	hybrid	blank	0	0.0144 ± 0.0035
randomG	false	lapq	dedup	offline	0	0.0150 ± 0.0051
mix_gen	online	lapq	hybrid	offline	0	0.0151 ± 0.0042
mix_all	online	lapq	dedup	blank	0	0.0153 ± 0.0024
mix_all	online	lapq	dedup	online	0	0.0161 ± 0.0066
randomG	online	lapq	dedup	offline	0	0.0161 ± 0.0067
randomG	false	bpq	ob	offline	2	0.6561 ± 0.0056
randomG	false	bpq	ob	offline	3	0.6569 ± 0.0048
mix_all	false	bpq	hybrid	blank	3	0.6570 ± 0.0073
mix_gen	false	bpq	ob	blank	2	0.6570 ± 0.0048
mix_all	false	bpq	ob	offline	2	0.6570 ± 0.0047
mix_all	false	bpq	hybrid	online	2	0.6574 ± 0.0035
mix_gen	false	bpq	ob	blank	3	0.6576 ± 0.0063
randomG	false	bpq	dedup	blank	3	0.6598 ± 0.0074
mix_all	false	bpq	dedup	online	3	0.6615 ± 0.0118
mix_all	false	bpq	ob	online	3	0.6625 ± 0.0152
mix_gen	false	bpq	dedup	blank	3	0.6627 ± 0.0083
mix_all	false	bpq	ob	online	2	0.6636 ± 0.0163
randomG	false	bpq	dedup	blank	2	0.6639 ± 0.0112
mix_all	false	bpq	dedup	offline	2	0.6639 ± 0.0092
randomG	false	bpq	dedup	online	2	0.6643 ± 0.0106
randomG	false	bpq	npf	online	2	0.6644 ± 0.0120
mix_gen	false	bpq	ob	online	3	0.6644 ± 0.0130
randomG	false	bpq	dedup	offline	3	0.6645 ± 0.0082
randomG	false	bpq	npf	offline	3	0.6649 ± 0.0120
mix_gen	false	bpq	dedup	blank	2	0.6651 ± 0.0058
randomG	false	bpq	hybrid	online	2	0.6651 ± 0.0225
mix_all	false	bpq	npf	online	3	0.6658 ± 0.0206
randomG	false	bpq	npf	online	3	0.6659 ± 0.0128
mix_all	false	bpq	ob	blank	2	0.6661 ± 0.0191
randomG	false	bpq	hybrid	online	3	0.6664 ± 0.0228
mix_gen	false	bpq	dedup	online	2	0.6666 ± 0.0074
mix_gen	false	bpq	hybrid	blank	2	0.6667 ± 0.0248
mix_all	false	bpq	hybrid	blank	2	0.6667 ± 0.0247
mix_all	false	bpq	npf	blank	2	0.6674 ± 0.0213
mix_gen	false	bpq	npf	offline	3	0.6677 ± 0.0165
mix_all	false	bpq	npf	offline	3	0.6678 ± 0.0292
mix_gen	false	bpq	hybrid	offline	2	0.6681 ± 0.0261
mix_all	false	bpq	dedup	online	2	0.6684 ± 0.0110
