pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomH	false	bpq	dedup	blank	0	0.0067 ± 3e-04
mix_gen	false	bpq	dedup	blank	0	0.0067 ± 4e-04
mix_all	false	bpq	dedup	offline	0	0.0068 ± 3e-04
mix_all	false	bpq	dedup	online	0	0.0070 ± 6e-04
mix_all	false	bpq	dedup	blank	0	0.0070 ± 7e-04
mix_all	false	bpq	hybrid	online	0	0.0070 ± 3e-04
mix_gen	false	bpq	hybrid	online	0	0.0070 ± 5e-04
randomH	false	bpq	hybrid	blank	0	0.0070 ± 5e-04
mix_gen	online	bpq	dedup	online	0	0.0071 ± 2e-04
mix_gen	online	bpq	hybrid	blank	0	0.0071 ± 4e-04
mix_all	online	bpq	hybrid	blank	0	0.0071 ± 5e-04
randomH	online	bpq	hybrid	online	0	0.0072 ± 2e-04
mix_all	online	bpq	dedup	blank	0	0.0072 ± 4e-04
mix_all	online	bpq	hybrid	offline	0	0.0072 ± 4e-04
mix_gen	online	bpq	hybrid	online	0	0.0072 ± 8e-04
randomH	online	bpq	hybrid	blank	0	0.0073 ± 4e-04
mix_gen	online	bpq	dedup	blank	0	0.0073 ± 6e-04
randomH	online	bpq	dedup	online	0	0.0073 ± 1e-04
randomH	online	bpq	dedup	blank	0	0.0073 ± 4e-04
mix_all	false	bpq	hybrid	offline	0	0.0073 ± 6e-04
randomH	false	bpq	hybrid	online	0	0.0073 ± 7e-04
mix_all	online	bpq	dedup	online	0	0.0074 ± 4e-04
mix_gen	false	bpq	dedup	offline	0	0.0074 ± 9e-04
mix_all	false	bpq	hybrid	blank	0	0.0074 ± 5e-04
mix_gen	online	bpq	hybrid	offline	0	0.0074 ± 3e-04
mix_gen	false	bpq	hybrid	blank	0	0.0075 ± 7e-04
mix_all	online	bpq	hybrid	online	0	0.0075 ± 0.0011
randomH	false	bpq	dedup	offline	0	0.0075 ± 3e-04
mix_all	online	bpq	dedup	offline	0	0.0077 ± 4e-04
mix_gen	online	bpq	dedup	offline	0	0.0077 ± 8e-04
mix_gen	false	bpq	hybrid	offline	0	0.0078 ± 0.0014
randomH	false	bpq	hybrid	offline	0	0.0078 ± 8e-04
randomH	online	bpq	hybrid	offline	0	0.0079 ± 0.0010
randomH	online	bpq	dedup	offline	0	0.0080 ± 0.0010
mix_gen	false	bpq	dedup	online	0	0.0088 ± 0.0046
randomH	false	bpq	dedup	online	0	0.0105 ± 0.0079
mix_all	false	lapq	dedup	online	0	0.0120 ± 6e-04
mix_gen	false	lapq	hybrid	blank	0	0.0120 ± 8e-04
mix_gen	false	lapq	hybrid	online	0	0.0121 ± 5e-04
mix_all	online	lapq	hybrid	online	0	0.0121 ± 7e-04
mix_all	online	lapq	dedup	blank	0	0.0121 ± 0.0011
mix_all	false	lapq	dedup	offline	0	0.0122 ± 8e-04
mix_gen	false	lapq	dedup	blank	0	0.0122 ± 5e-04
mix_gen	false	lapq	hybrid	offline	0	0.0122 ± 3e-04
mix_gen	online	lapq	dedup	online	0	0.0122 ± 7e-04
mix_gen	online	lapq	hybrid	online	0	0.0123 ± 9e-04
mix_gen	online	lapq	dedup	blank	0	0.0123 ± 6e-04
mix_all	online	lapq	dedup	online	0	0.0123 ± 6e-04
mix_all	false	lapq	dedup	blank	0	0.0123 ± 4e-04
mix_all	false	lapq	hybrid	blank	0	0.0123 ± 9e-04
randomH	false	lapq	dedup	blank	0	0.0124 ± 7e-04
randomH	false	lapq	hybrid	blank	0	0.0124 ± 0.0010
mix_all	online	lapq	dedup	offline	0	0.0125 ± 0.0010
randomH	false	lapq	dedup	online	0	0.0125 ± 4e-04
randomH	false	lapq	hybrid	offline	0	0.0125 ± 4e-04
randomH	online	lapq	dedup	blank	0	0.0125 ± 0.0012
mix_gen	online	lapq	hybrid	blank	0	0.0125 ± 0.0011
randomH	false	lapq	hybrid	online	0	0.0125 ± 9e-04
randomH	online	lapq	hybrid	blank	0	0.0125 ± 0.0012
mix_gen	false	lapq	dedup	offline	0	0.0126 ± 0.0014
mix_all	false	lapq	hybrid	online	0	0.0126 ± 8e-04
randomH	online	lapq	dedup	offline	0	0.0126 ± 7e-04
randomH	online	lapq	hybrid	online	0	0.0126 ± 0.0011
mix_all	false	lapq	hybrid	offline	0	0.0127 ± 0.0019
randomH	online	lapq	hybrid	offline	0	0.0129 ± 8e-04
mix_gen	false	lapq	dedup	online	0	0.0132 ± 0.0029
mix_gen	online	lapq	dedup	offline	0	0.0133 ± 0.0020
randomH	false	lapq	dedup	offline	0	0.0138 ± 0.0032
mix_gen	online	lapq	hybrid	offline	0	0.0141 ± 0.0034
mix_all	online	lapq	hybrid	offline	0	0.0158 ± 0.0079
mix_all	online	lapq	hybrid	blank	0	0.0163 ± 0.0068
randomH	online	lapq	dedup	online	0	0.0200 ± 0.0178
mix_gen	false	bpq	dedup	blank	3	1.0522 ± 0.0217
mix_all	false	bpq	dedup	blank	3	1.0542 ± 0.0294
