pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	bpq	dedup	blank	0	0.0086 ± 4e-04
mix_gen	false	bpq	hybrid	online	0	0.0087 ± 1e-04
mix_gen	false	bpq	dedup	online	0	0.0087 ± 3e-04
mix_all	false	bpq	dedup	online	0	0.0087 ± 3e-04
mix_gen	false	bpq	hybrid	blank	0	0.0087 ± 2e-04
mix_all	false	bpq	hybrid	blank	0	0.0087 ± 3e-04
randomT	false	bpq	dedup	blank	0	0.0087 ± 4e-04
randomT	false	bpq	dedup	online	0	0.0087 ± 2e-04
randomT	false	bpq	hybrid	blank	0	0.0087 ± 2e-04
mix_all	false	bpq	hybrid	offline	0	0.0088 ± 2e-04
randomT	false	bpq	hybrid	online	0	0.0088 ± 3e-04
mix_all	false	bpq	dedup	offline	0	0.0088 ± 2e-04
mix_all	false	bpq	hybrid	online	0	0.0088 ± 2e-04
mix_all	false	bpq	dedup	blank	0	0.0089 ± 9e-04
randomT	online	bpq	hybrid	blank	0	0.0089 ± 6e-04
mix_gen	false	bpq	dedup	offline	0	0.0089 ± 3e-04
randomT	online	bpq	dedup	blank	0	0.0090 ± 2e-04
mix_gen	false	bpq	hybrid	offline	0	0.0090 ± 2e-04
randomT	false	bpq	hybrid	offline	0	0.0090 ± 3e-04
randomT	online	bpq	dedup	online	0	0.0091 ± 4e-04
randomT	online	bpq	hybrid	online	0	0.0091 ± 6e-04
mix_gen	online	bpq	hybrid	offline	0	0.0092 ± 6e-04
mix_all	online	bpq	hybrid	blank	0	0.0092 ± 9e-04
mix_all	online	bpq	hybrid	online	0	0.0093 ± 0.0012
mix_gen	online	bpq	dedup	offline	0	0.0093 ± 0.0010
mix_all	online	bpq	dedup	online	0	0.0093 ± 9e-04
randomT	online	bpq	dedup	offline	0	0.0093 ± 5e-04
mix_gen	online	bpq	hybrid	online	0	0.0095 ± 0.0017
mix_all	online	bpq	dedup	offline	0	0.0095 ± 0.0017
mix_gen	online	bpq	dedup	online	0	0.0097 ± 0.0020
mix_gen	online	bpq	dedup	blank	0	0.0098 ± 0.0020
randomT	online	bpq	hybrid	offline	0	0.0099 ± 0.0014
mix_all	online	bpq	dedup	blank	0	0.0104 ± 0.0033
mix_gen	online	bpq	hybrid	blank	0	0.0105 ± 0.0036
